candidate_id,artist,title,spotify_track_id,primary_artist_id,primary_artist_url,spotify_url,spotify_isrc,stream_count,captured_at,source_note
M045,Carthagods,The Devil's Doll,5aI2EF6gFKSdqW1bEHQFcb,0SdxZAc2eKSnWwhjHEC07W,https://open.spotify.com/artist/0SdxZAc2eKSnWwhjHEC07W,https://open.spotify.com/track/5aI2EF6gFKSdqW1bEHQFcb,usl4r1823032,,,Spotify desktop album page
M046,Orphaned Land,Like Orpheus,2xT6dOB9HTQgP4WoR5ByI2,7xTMxqAmbtE0Nce5lz7t0h,https://open.spotify.com/artist/7xTMxqAmbtE0Nce5lz7t0h,https://open.spotify.com/track/2xT6dOB9HTQgP4WoR5ByI2,US4E41848607,,,Spotify desktop album page
M047,The HU,Wolf Totem,7LSn5it9bQhJqyfEq1PM3l,0b2B3PwcYzQAhuJacmcYgc,https://open.spotify.com/artist/0b2B3PwcYzQAhuJacmcYgc,https://open.spotify.com/track/7LSn5it9bQhJqyfEq1PM3l,TCADY1880557,,,Spotify desktop album page
M048,Against Evil,The Sound of Violence,6Ehb1g3Qq47TqN4CSHaYUF,7KidUKr9UKzJ7SA5RZYCy9,https://open.spotify.com/artist/7KidUKr9UKzJ7SA5RZYCy9,https://open.spotify.com/track/6Ehb1g3Qq47TqN4CSHaYUF,uscgh2193288,,,Spotify desktop album page
M049,Kryptos,Full Throttle,4AseGgv9fiVNeGC7cSU3u2,0SmK0Nh1fuDYGSGWDI3eVh,https://open.spotify.com/artist/0SmK0Nh1fuDYGSGWDI3eVh,https://open.spotify.com/track/4AseGgv9fiVNeGC7cSU3u2,DEU601606525,,,Spotify desktop album page
M050,LORD,United,7yqjpBncd99OTk5EMWGUBT,6mLDXLOEh4fcvxm5ICKfhE,https://open.spotify.com/artist/6mLDXLOEh4fcvxm5ICKfhE,https://open.spotify.com/track/7yqjpBncd99OTk5EMWGUBT,AUDI31900001,,,Spotify desktop album page
M051,Black Majesty,Children of the Abyss,1ZhdwkddsbYGqrUa8duXir,2DPNTAyCLXZ7EZqFaESe4q,https://open.spotify.com/artist/2DPNTAyCLXZ7EZqFaESe4q,https://open.spotify.com/track/1ZhdwkddsbYGqrUa8duXir,DEUJ61800136,,,Spotify desktop album page
M052,Elm Street,Heart Racer,7MAPT8Clft06t6fV1aVlpb,7GZ2pCmZ6H5vrdfB41vCoy,https://open.spotify.com/artist/7GZ2pCmZ6H5vrdfB41vCoy,https://open.spotify.com/track/7MAPT8Clft06t6fV1aVlpb,DER371694907,,,Spotify desktop album page
M053,Striker,Born to Lose,5af4KHpLHbuQd4GtfhNawR,0lwL1Cu96Wvy1hMwfLqHHC,https://open.spotify.com/artist/0lwL1Cu96Wvy1hMwfLqHHC,https://open.spotify.com/track/5af4KHpLHbuQd4GtfhNawR,ushm91606177,,,Spotify desktop album page
M054,Skull Fist,Better Late Than Never,1RtW5EA4LO7nZHrgmgxCnJ,6V6MyDcytW48stIykhH937,https://open.spotify.com/artist/6V6MyDcytW48stIykhH937,https://open.spotify.com/track/1RtW5EA4LO7nZHrgmgxCnJ,ATN261807207,,,Spotify desktop album page
M055,Traveler,Starbreaker,6qCGoSR3V84W2pukqjC9rL,7G0UdhtXkdKanSod5KutP0,https://open.spotify.com/artist/7G0UdhtXkdKanSod5KutP0,https://open.spotify.com/track/6qCGoSR3V84W2pukqjC9rL,ITI291901101,,,Spotify desktop album page
M056,Jorn,Life on Death Road,303jLr2JVLP41JBaSANWFm,5SaDyTQkjAAdrsmhPzrmw2,https://open.spotify.com/artist/5SaDyTQkjAAdrsmhPzrmw2,https://open.spotify.com/track/303jLr2JVLP41JBaSANWFm,ITG271700542,,,Spotify desktop album page
M057,Communic,The Bottom Deep,2cYQ1F6AR6OzuV7r6xiLIc,56w3AIFmUXAMlij4gvgEMF,https://open.spotify.com/artist/56w3AIFmUXAMlij4gvgEMF,https://open.spotify.com/track/2cYQ1F6AR6OzuV7r6xiLIc,DED831100103,,,Spotify desktop album page
M058,Volbeat,The Devil's Bleeding Crown,3TjQAc2PzWzlSDrnq61J1y,0L5fC7Ogm2YwgqVCRcF1bT,https://open.spotify.com/artist/0L5fC7Ogm2YwgqVCRcF1bT,https://open.spotify.com/track/3TjQAc2PzWzlSDrnq61J1y,DKNE11600101,,,Spotify desktop album page
